n,gamma_nominal,tau,key_family,repetitions,elapsed_ns_mean,elapsed_ns_median,elapsed_ns_std,elapsed_ns_ci95_low,elapsed_ns_ci95_high,time_per_operation_ns_mean,time_per_operation_ns_median,time_per_operation_ns_std,time_per_operation_ns_ci95_low,time_per_operation_ns_ci95_high,migrations_per_insertion_mean,migrations_per_insertion_median,migrations_per_insertion_std,migrations_per_insertion_ci95_low,migrations_per_insertion_ci95_high,pair_collisions_per_key_mean,pair_collisions_per_key_median,pair_collisions_per_key_std,pair_collisions_per_key_ci95_low,pair_collisions_per_key_ci95_high,key_comparisons_mean,key_comparisons_median,key_comparisons_std,key_comparisons_ci95_low,key_comparisons_ci95_high,bytes_per_element_mean,bytes_per_element_median,bytes_per_element_std,bytes_per_element_ci95_low,bytes_per_element_ci95_high,tracemalloc_peak_bytes_mean,tracemalloc_peak_bytes_median,tracemalloc_peak_bytes_std,tracemalloc_peak_bytes_ci95_low,tracemalloc_peak_bytes_ci95_high,resize_count_mean,resize_count_median,resize_count_std,resize_count_ci95_low,resize_count_ci95_high,max_chain_length_mean,max_chain_length_median,max_chain_length_std,max_chain_length_ci95_low,max_chain_length_ci95_high,bound_ratio_mean,bound_ratio_median,bound_ratio_std,bound_ratio_ci95_low,bound_ratio_ci95_high
1000,1.25,0.5,random,30,49110286.666666664,45898500.0,16416146.54856474,43676856.58333333,55707523.08333333,49110.28666666667,45898.5,16416.14654856474,43600.349500000004,55248.99808333333,4.0649999999999995,4.065,9.033620566533923e-16,4.0649999999999995,4.0649999999999995,0.23123333333333332,0.21,0.08938281996976334,0.20953249999999998,0.2660416666666666,439.96666666666664,436.5,35.25423264716209,427.93333333333334,452.93583333333333,191.54986666666667,191.952,1.581725895721319,190.91927999999993,191.93080000000003,315998.5333333333,316204.0,723.8185966936331,315739.73,316214.4066666667,21.0,21.0,0.0,21.0,21.0,3.933333333333333,4.0,0.5208304597621878,3.7666666666666666,4.1,0.9892805472138805,0.8984384384384385,0.38240457712789655,0.898138958958959,1.1413091658324994
1000,1.25,0.7,random,30,50300390.0,51809250.0,12394095.307244856,46375020.666666664,54997596.166666664,50300.39,51809.25,12394.095307244856,46042.168249999995,54868.65216666666,4.498,4.498,0.0,4.498,4.498,0.28366666666666673,0.271,0.052298436274726315,0.26873166666666665,0.3060766666666666,612.9,607.5,54.415610082858166,593.98,631.7716666666666,162.44053333333332,162.72,0.9454598491933875,162.06282666666667,162.72426666666664,270744.13333333336,270972.0,1241.8813240356367,270236.3433333333,271043.11333333334,20.0,20.0,0.0,20.0,20.0,4.366666666666666,4.0,0.490132517853561,4.2,4.566666666666666,0.9705432098765433,0.9272052052052052,0.17893499017719175,0.9192218885552219,1.0463875692359026
1000,1.25,0.8,random,30,45983413.333333336,46593400.0,11754783.083134297,41711747.25,50187493.74999999,45983.41333333333,46593.399999999994,11754.783083134296,41459.299750000006,49972.78783333334,4.0550000000000015,4.055,1.8067241133067846e-15,4.0550000000000015,4.0550000000000015,0.3591333333333333,0.3425,0.08594454239692066,0.3387666666666666,0.39406833333333335,701.6333333333333,690.0,62.97590307265226,681.1975,726.3333333333334,138.39039999999997,138.59199999999998,1.3168059999025319,137.74922666666666,138.70615999999998,221091.6,221072.0,362.6954265134772,220964.78,221231.3566666667,19.0,19.0,0.0,19.0,19.0,4.833333333333333,5.0,0.7914775938769181,4.566666666666666,5.1,0.9785394728061395,0.9332182182182183,0.23417521962404214,0.923132195528862,1.0691842525859192
1000,1.25,0.9,random,30,47516803.333333336,44051700.0,12388674.33133665,43288572.916666664,51831788.166666664,47516.80333333334,44051.7,12388.674331336648,43280.95508333333,51844.11091666667,4.563999999999998,4.564,1.8067241133067846e-15,4.563999999999998,4.563999999999998,0.3591333333333333,0.3425,0.08594454239692066,0.3394333333333333,0.3925008333333333,794.8,782.0,78.61095826041488,772.0641666666667,825.2708333333333,138.39039999999997,138.59199999999998,1.3168059999025319,137.89968,138.70186666666666,227831.06666666668,227810.0,364.19120909435634,227701.72666666668,227962.6733333333,19.0,19.0,0.0,19.0,19.0,4.833333333333333,5.0,0.7914775938769181,4.566666666666666,5.1,0.9785394728061395,0.9332182182182183,0.23417521962404214,0.924767030363697,1.0682805522188854
1000,1.5,0.5,random,30,43058976.666666664,40282550.0,11657805.644190188,39212177.33333333,47049193.666666664,43058.97666666667,40282.55,11657.80564419019,38738.13416666667,47303.452333333335,2.863,2.863,0.0,2.863,2.863,0.17926666666666663,0.1535,0.11005169109397492,0.1491308333333333,0.22284250000000003,390.73333333333335,391.0,16.473454787738916,385.3333333333333,396.2008333333333,244.98346666666671,245.408,2.080211059141527,244.20360000000002,245.57018666666664,391140.26666666666,391112.0,297.87094328009687,391044.3766666667,391249.10666666663,13.0,13.0,0.0,13.0,13.0,3.6,3.0,0.8136762043449723,3.3333333333333335,3.9,1.0504775442108778,0.8994884884884885,0.6448874871512805,0.8766252686019352,1.3145716616616616
1000,1.5,0.7,random,30,35369120.0,34543300.0,9110361.929348588,32425528.083333332,38489176.58333333,35369.12,34543.3,9110.36192934859,32188.101666666673,38491.42541666666,2.646,2.646,0.0,2.646,2.646,0.23399999999999999,0.2355,0.013708794056471877,0.2290666666666667,0.23876750000000002,548.5666666666667,549.5,23.419242505688135,540.7933333333333,557.0675,178.77013333333332,178.752,0.30921789363995006,178.66234666666665,178.87688,276073.3333333333,276060.0,320.7548568002042,275950.49,276180.4266666667,12.0,12.0,0.0,12.0,12.0,4.0,4.0,0.5252257314388902,3.8,4.2,0.9130450450450451,0.9188978978978979,0.05349036960172909,0.8944459793126459,0.930997045378712
1000,1.5,0.8,random,30,27752963.333333332,25664250.0,7979718.450373414,25190246.666666668,30797243.0,27752.963333333333,25664.25,7979.718450373415,25147.627,30569.81916666666,1.9949999999999997,1.995,4.516810283266961e-16,1.9949999999999997,1.9949999999999997,0.36713333333333337,0.3675,0.021199761438692448,0.3596641666666667,0.37410166666666667,630.6333333333333,636.0,24.641545144865344,620.8658333333334,638.7366666666667,134.1248,134.144,0.3984721164475682,133.98610666666667,134.26458666666667,188996.26666666666,189074.0,440.6502196662951,188831.77666666667,189127.20333333334,11.0,11.0,0.0,11.0,11.0,4.733333333333333,5.0,0.6396838299494921,4.5,4.966666666666667,0.9474171504838171,0.9483633633633635,0.054707692681630775,0.9296971638304972,0.9666854854854853
1000,1.5,0.9,random,30,29746020.0,25940750.0,8938042.241333505,26833816.833333336,33407611.416666664,29746.02,25940.75,8938.042241333505,26728.887500000004,32943.19175,2.246,2.246,0.0,2.246,2.246,0.36713333333333337,0.3675,0.021199761438692448,0.3603966666666667,0.37439999999999996,702.4,698.5,25.410559846727857,693.6983333333334,711.6683333333333,134.1248,134.144,0.3984721164475682,133.96693333333334,134.26669333333334,194564.8,194670.0,507.9151707614719,194361.00333333336,194707.36333333334,11.0,11.0,0.0,11.0,11.0,4.733333333333333,5.0,0.6396838299494921,4.533333333333333,4.966666666666667,0.9474171504838171,0.9483633633633635,0.054707692681630775,0.9282305338672007,0.9673779412746079
1000,2.0,0.5,random,30,29597563.333333332,27349600.0,7031837.690375227,27050317.916666668,32214338.833333332,29597.56333333333,27349.6,7031.837690375227,27189.58183333333,32157.640583333327,1.5790000000000002,1.579,2.2584051416334807e-16,1.5790000000000002,1.5790000000000002,0.1613333333333333,0.138,0.07826935513994598,0.13862916666666666,0.19104083333333333,367.56666666666666,343.0,94.09338110524082,339.9658333333333,405.3691666666667,260.81813333333326,261.328,1.680694678488289,260.14384,261.3205866666666,368450.8,368798.0,1578.9820029111293,367778.12,368846.55,8.0,8.0,0.0,8.0,8.0,3.7,4.0,0.7943767889097849,3.433333333333333,3.9674999999999994,1.034535869202536,0.884912912912913,0.5018953844109049,0.8868366366366368,1.2289014330997663
1000,2.0,0.7,random,30,21523316.666666668,21389850.0,5913793.833011751,19528886.5,23678000.166666664,21523.316666666662,21389.85,5913.79383301175,19453.079166666663,23550.9715,1.093,1.093,0.0,1.093,1.093,0.33183333333333326,0.2985,0.17274898738828592,0.29246416666666664,0.40070999999999996,524.5333333333333,490.5,131.10399487149263,487.0966666666667,579.6166666666667,155.43359999999998,155.904,2.0306402183921515,154.67093333333332,155.94346666666667,194905.6,195012.0,703.2288880339865,194630.50999999998,195112.16666666666,7.0,7.0,0.0,7.0,7.0,4.5,4.0,0.8610338613230188,4.2,4.833333333333333,1.0609366032699366,0.9543633633633634,0.5523125782964815,0.9354945712379046,1.2829739556222886
