n,repetition,gamma,tau,probe_collisions,total_probes,resize_count,moved_entries,final_capacity,elapsed_ns
1000,1,1.5,0.5,826,1826,13,2863,2927,1733500
1000,1,1.5,0.75,3130,4130,12,2837,1949,1701500
1000,1,1.5,0.9,8012,9012,11,2246,1289,1899900
1000,1,2.0,0.5,619,1619,8,1579,3203,1056200
1000,1,2.0,0.75,2020,3020,7,1173,1597,988100
1000,1,2.0,0.9,4716,5716,7,1409,1597,1363400
1000,1,3.0,0.5,785,1785,5,776,3163,921400
1000,1,3.0,0.75,2009,3009,5,1165,3163,1207800
1000,1,3.0,0.9,5447,6447,5,1399,3163,1342800
1000,2,1.5,0.5,1442,2442,13,2863,2927,1723800
1000,2,1.5,0.75,4530,5530,12,2837,1949,2110200
1000,2,1.5,0.9,8073,9073,11,2246,1289,2077400
1000,2,2.0,0.5,684,1684,8,1579,3203,1105200
1000,2,2.0,0.75,1981,2981,7,1173,1597,1052000
1000,2,2.0,0.9,4858,5858,7,1409,1597,1350600
1000,2,3.0,0.5,516,1516,5,776,3163,788900
1000,2,3.0,0.75,1653,2653,5,1165,3163,1026300
1000,2,3.0,0.9,5122,6122,5,1399,3163,1349800
1000,3,1.5,0.5,1008,2008,13,2863,2927,1719600
1000,3,1.5,0.75,2966,3966,12,2837,1949,1832100
1000,3,1.5,0.9,8014,9014,11,2246,1289,1826900
1000,3,2.0,0.5,604,1604,8,1579,3203,1023400
1000,3,2.0,0.75,1716,2716,7,1173,1597,964700
1000,3,2.0,0.9,4592,5592,7,1409,1597,1268000
1000,3,3.0,0.5,507,1507,5,776,3163,733400
1000,3,3.0,0.75,1517,2517,5,1165,3163,942700
1000,3,3.0,0.9,5060,6060,5,1399,3163,1298100
1000,4,1.5,0.5,942,1942,13,2863,2927,1600800
1000,4,1.5,0.75,3644,4644,12,2837,1949,1811700
1000,4,1.5,0.9,10185,11185,11,2246,1289,2845000
1000,4,2.0,0.5,593,1593,8,1579,3203,1313900
1000,4,2.0,0.75,1816,2816,7,1173,1597,1041600
1000,4,2.0,0.9,4154,5154,7,1409,1597,1207900
1000,4,3.0,0.5,512,1512,5,776,3163,731700
1000,4,3.0,0.75,1646,2646,5,1165,3163,950400
1000,4,3.0,0.9,4617,5617,5,1399,3163,1211900
1000,5,1.5,0.5,942,1942,13,2863,2927,1564900
1000,5,1.5,0.75,3123,4123,12,2837,1949,1755100
1000,5,1.5,0.9,6894,7894,11,2246,1289,1823500
1000,5,2.0,0.5,609,1609,8,1579,3203,1061100
1000,5,2.0,0.75,2110,3110,7,1173,1597,1193800
1000,5,2.0,0.9,5709,6709,7,1409,1597,1904500
1000,5,3.0,0.5,503,1503,5,776,3163,765200
1000,5,3.0,0.75,1573,2573,5,1165,3163,946200
1000,5,3.0,0.9,5654,6654,5,1399,3163,1337200
1000,6,1.5,0.5,966,1966,13,2863,2927,1655000
1000,6,1.5,0.75,4424,5424,12,2837,1949,1892100
1000,6,1.5,0.9,8666,9666,11,2246,1289,1982200
1000,6,2.0,0.5,668,1668,8,1579,3203,1064200
1000,6,2.0,0.75,1794,2794,7,1173,1597,994700
1000,6,2.0,0.9,4012,5012,7,1409,1597,1237800
1000,6,3.0,0.5,545,1545,5,776,3163,745900
1000,6,3.0,0.75,1601,2601,5,1165,3163,1010500
1000,6,3.0,0.9,4378,5378,5,1399,3163,2222100
1000,7,1.5,0.5,932,1932,13,2863,2927,1687500
1000,7,1.5,0.75,2923,3923,12,2837,1949,1992500
1000,7,1.5,0.9,6415,7415,11,2246,1289,1963100
1000,7,2.0,0.5,740,1740,8,1579,3203,1083400
1000,7,2.0,0.75,1904,2904,7,1173,1597,988500
1000,7,2.0,0.9,4729,5729,7,1409,1597,1293400
1000,7,3.0,0.5,390,1390,5,776,3163,726600
1000,7,3.0,0.75,1384,2384,5,1165,3163,938300
1000,7,3.0,0.9,4407,5407,5,1399,3163,1245600
1000,8,1.5,0.5,830,1830,13,2863,2927,1609900
1000,8,1.5,0.75,2932,3932,12,2837,1949,2676100
1000,8,1.5,0.9,7387,8387,11,2246,1289,2008600
1000,8,2.0,0.5,844,1844,8,1579,3203,1024400
1000,8,2.0,0.75,2355,3355,7,1173,1597,985700
1000,8,2.0,0.9,5641,6641,7,1409,1597,1415700
1000,8,3.0,0.5,504,1504,5,776,3163,720100
1000,8,3.0,0.75,1637,2637,5,1165,3163,935000
1000,8,3.0,0.9,5729,6729,5,1399,3163,1425100
1000,9,1.5,0.5,853,1853,13,2863,2927,1509900
1000,9,1.5,0.75,3463,4463,12,2837,1949,1670500
1000,9,1.5,0.9,7980,8980,11,2246,1289,2126600
1000,9,2.0,0.5,684,1684,8,1579,3203,1353300
1000,9,2.0,0.75,1857,2857,7,1173,1597,1385000
1000,9,2.0,0.9,5258,6258,7,1409,1597,2045100
1000,9,3.0,0.5,444,1444,5,776,3163,1094200
1000,9,3.0,0.75,1565,2565,5,1165,3163,936800
1000,9,3.0,0.9,4612,5612,5,1399,3163,1271700
1000,10,1.5,0.5,912,1912,13,2863,2927,1632000
1000,10,1.5,0.75,3031,4031,12,2837,1949,1848900
1000,10,1.5,0.9,7398,8398,11,2246,1289,1969900
