run_id,git_commit,python_version,platform,cpu,n,gamma_nominal,gamma_effective_mean,tau,m0,final_capacity,final_size,final_load_factor,key_family,key_seed,order_seed,hash_seed,repetition,elapsed_ns,time_per_operation_ns,latency_p50_ns,latency_p95_ns,latency_p99_ns,latency_max_ns,resize_count,moved_entries,migrations_per_insertion,hash_evaluations,key_comparisons,insert_collision_events,pair_collisions,pair_collisions_per_key,universal_pair_bound,bound_ratio,max_chain_length,bucket_assignments,bucket_slots_peak,unused_capacity,structural_bytes_final,bytes_per_element,tracemalloc_peak_bytes,gc_enabled,hash_a,hash_b,hash_prime
n1000-g1.5-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.8,11,1289,1000,0.7757951900698216,random,11042,21042,31042,1,16707100,16707.1,4900.0,6304.999999999995,52511.99999999999,3150100,11,1995,1.995,2995,672,497,374,0.374,387.5096974398759,0.9651371371371371,5,2995,2146,289,133936,133.936,188528,True,530133399472470732,283097919641614406,2305843009213693951
n1000-g1.25-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2884399490725909,0.7,11,1709,1000,0.5851375073142189,random,11042,21042,31042,1,33789100,33789.1,6500.0,11104.999999999996,323243.9999999985,5900000,20,4498,4.498,5498,789,476,284,0.284,292.2761849034523,0.9716836836836837,4,5498,3070,709,162288,162.288,271484,True,1281807480313938569,1286278291082997294,2305843009213693951
n1000-g3-t0.5-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.5,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,12665900,12665.9,5200.0,7100.0,10007.999999999993,4446300,5,776,0.776,1776,264,232,143,0.143,157.9196964906734,0.9055235235235236,4,1776,4212,2163,259072,259.072,308492,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g2-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.7,11,1597,1000,0.6261740763932373,random,11042,21042,31042,1,17228300,17228.3,6800.0,10104.999999999995,45273.99999999984,5279000,7,1093,1.093,2093,487,377,309,0.309,312.77395115842205,0.9879339339339339,5,2093,2394,597,155664,155.664,194932,True,216001057262141823,1258409179699703360,2305843009213693951
n1000-g2-t0.5-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.032666219705446,0.5,11,3203,1000,0.3122073056509522,random,11042,21042,31042,1,20652600,20652.6,5600.0,9400.0,59005.0,7592100,8,1579,1.579,2579,343,287,145,0.145,155.94754917265064,0.9297997997997998,3,2579,4800,2203,261056,261.056,368548,True,1818499928968777257,1871060345558551550,2305843009213693951
n1000-g4-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.9,11,3079,1000,0.3247807729782397,random,11042,21042,31042,1,17142600,17142.6,5800.0,12200.0,44900.0,7046000,4,914,0.914,1914,456,356,147,0.147,162.22799610263073,0.9061321321321322,4,1914,3848,2079,254144,254.144,293048,True,289208513342756656,1737239256259392775,2305843009213693951
n1000-g4-t0.5-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.5,11,3079,1000,0.3247807729782397,random,11042,21042,31042,1,13456600,13456.6,6000.0,9700.0,17325.999999999975,4209600,4,507,0.507,1507,246,219,147,0.147,162.22799610263073,0.9061321321321322,4,1507,3848,2079,254144,254.144,272288,True,289208513342756656,1737239256259392775,2305843009213693951
n1000-g3-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.7,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,15834500,15834.5,5800.0,8300.0,13411.999999999989,5770600,5,1087,1.087,2087,387,316,143,0.143,157.9196964906734,0.9055235235235236,4,2087,4212,2163,259072,259.072,321972,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g1.25-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.8,11,1361,1000,0.7347538574577517,random,11042,21042,31042,1,27975800,27975.8,5800.0,8100.0,335074.9999999983,4365500,19,4055,4.055,5055,937,532,330,0.33,367.00955180014694,0.8991591591591592,5,5055,2430,361,139184,139.184,221204,True,335617465972059138,581327705028044665,2305843009213693951
n1000-g1.5-t0.5-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5375603143577163,0.5,11,2927,1000,0.341646737273659,random,11042,21042,31042,1,27912900,27912.9,6000.0,8600.0,88685.99999999965,6840900,13,2863,2.863,3863,408,345,649,0.649,170.65254526819268,3.8030490490490494,6,3863,4876,1927,236352,236.352,391100,True,475811965840538922,361802660261835333,2305843009213693951
n1000-g3-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.8,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,24260700,24260.7,5500.0,7800.0,32504.999999999993,14600100,5,1243,1.243,2243,453,361,143,0.143,157.9196964906734,0.9055235235235236,4,2243,4212,2163,259072,259.072,324244,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g1.5-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5405406911613417,0.7,11,1949,1000,0.513083632632119,random,11042,21042,31042,1,21722900,21722.9,5500.0,9100.0,71039.99999999987,5273200,12,2646,2.646,3646,573,443,223,0.223,256.2852744997435,0.8701241241241241,3,3646,3238,949,178768,178.768,275936,True,1055129681217370319,1286563909733345339,2305843009213693951
n1000-g1.25-t0.5-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2866303730753477,0.5,11,2137,1000,0.4679457182966776,random,11042,21042,31042,1,29691600,29691.6,5300.0,6200.0,467545.9999999993,4907800,21,4065,4.065,5065,508,364,204,0.204,233.73888628919045,0.8727687687687687,4,5065,3846,1137,192112,192.112,315916,True,1878934463301839021,453752749110972768,2305843009213693951
n1000-g1.25-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.9,11,1361,1000,0.7347538574577517,random,11042,21042,31042,1,27420600,27420.6,5400.0,7504.999999999995,367246.99999999924,4615100,19,4564,4.564,5564,1146,604,330,0.33,367.00955180014694,0.8991591591591592,5,5564,2430,361,139184,139.184,227764,True,335617465972059138,581327705028044665,2305843009213693951
n1000-g4-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.7,11,3079,1000,0.3247807729782397,random,11042,21042,31042,1,11658400,11658.4,5000.0,5600.0,11018.999999999982,4175100,4,710,0.71,1710,339,288,147,0.147,162.22799610263073,0.9061321321321322,4,1710,3848,2079,254144,254.144,283056,True,289208513342756656,1737239256259392775,2305843009213693951
n1000-g1.5-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.9,11,1289,1000,0.7757951900698216,random,11042,21042,31042,1,16376600,16376.6,5200.0,6000.0,67145.99999999996,3430900,11,2246,2.246,3246,742,521,374,0.374,387.5096974398759,0.9651371371371371,5,3246,2146,289,133936,133.936,194808,True,530133399472470732,283097919641614406,2305843009213693951
n1000-g3-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.9,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,14793100,14793.1,5100.0,6000.0,9603.999999999996,6155900,5,1399,1.399,2399,551,425,143,0.143,157.9196964906734,0.9055235235235236,4,2399,4212,2163,259072,259.072,335332,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g2-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.8,11,1597,1000,0.6261740763932373,random,11042,21042,31042,1,12752700,12752.7,5000.0,6400.0,45917.99999999998,3195500,7,1251,1.251,2251,552,420,309,0.309,312.77395115842205,0.9879339339339339,5,2251,2394,597,155664,155.664,200156,True,216001057262141823,1258409179699703360,2305843009213693951
