alpha,number_of_elements,collisions,collisions_per_operation,seed,repetition
0.1,100,5,0.05,42,1
0.2,200,14,0.07,42,1
0.3,300,42,0.14,42,1
0.4,400,66,0.165,42,1
0.5,500,98,0.196,42,1
0.6,600,130,0.21666666666666667,42,1
0.7,700,179,0.2557142857142857,42,1
0.8,800,236,0.295,42,1
0.9,900,290,0.32222222222222224,42,1
0.1,100,6,0.06,43,2
0.2,200,14,0.07,43,2
0.3,300,39,0.13,43,2
0.4,400,67,0.1675,43,2
0.5,500,108,0.216,43,2
0.6,600,139,0.23166666666666666,43,2
0.7,700,186,0.26571428571428574,43,2
0.8,800,237,0.29625,43,2
0.9,900,297,0.33,43,2
0.1,100,6,0.06,44,3
0.2,200,14,0.07,44,3
0.3,300,39,0.13,44,3
0.4,400,72,0.18,44,3
0.5,500,103,0.206,44,3
0.6,600,142,0.23666666666666666,44,3
0.7,700,189,0.27,44,3
0.8,800,244,0.305,44,3
0.9,900,298,0.33111111111111113,44,3
