n,growth_factor,load_threshold,input_type,elapsed_time_mean,elapsed_time_median,elapsed_time_std,elapsed_time_min,elapsed_time_max,time_per_operation_mean,time_per_operation_median,time_per_operation_std,time_per_operation_min,time_per_operation_max,collisions_mean,collisions_median,collisions_std,collisions_min,collisions_max,rehashes_mean,rehashes_median,rehashes_std,rehashes_min,rehashes_max,rehash_operations_mean,rehash_operations_median,rehash_operations_std,rehash_operations_min,rehash_operations_max,final_capacity_mean,final_capacity_median,final_capacity_std,final_capacity_min,final_capacity_max,unused_capacity_mean,unused_capacity_median,unused_capacity_std,unused_capacity_min,unused_capacity_max,utilization_mean,utilization_median,utilization_std,utilization_min,utilization_max,estimated_memory_mean,estimated_memory_median,estimated_memory_std,estimated_memory_min,estimated_memory_max,total_operation_cost_mean,total_operation_cost_median,total_operation_cost_std,total_operation_cost_min,total_operation_cost_max,amortized_cost_mean,amortized_cost_median,amortized_cost_std,amortized_cost_min,amortized_cost_max
1000,1.5,0.5,random,0.0011267133323902034,0.00111349999497175,6.079491218390442e-05,0.001082500006305,0.0013997000060044,1.1267133323902573e-06,1.1134999949717895e-06,6.079491218390155e-08,1.082500006305054e-06,1.399700006004423e-06,325.8333333333333,322.0,18.45793602488779,291,377,12.0,12.0,0.0,12,12,2084.0,2084.0,0.0,2084,2084,2093.0,2093.0,0.0,2093,2093,1093.0,1093.0,0.0,1093,1093,0.4777830864787386,0.4777830864787386,0.0,0.4777830864787386,0.4777830864787386,189254.4,189200.0,407.99945909363106,188560,190192,9252.0,9252.0,0.0,9252,9252,9.252,9.252,0.0,9.252,9.252
1000,1.5,0.75,random,0.001989093334608037,0.0010050500059151,0.0052838218933117685,0.0009663000091677,0.0299586999899474,1.9890933346080904e-06,1.0050500059151091e-06,5.283821893311775e-06,9.66300009167753e-07,2.995869998994749e-05,453.2,450.0,18.26887309436274,422,495,11.0,11.0,0.0,11,11,2073.0,2073.0,0.0,2073,2073,1395.0,1395.0,0.0,1395,1395,395.0,395.0,0.0,395,395,0.7168458781362007,0.7168458781362007,0.0,0.7168458781362007,0.7168458781362007,140519.46666666667,140592.0,514.3863926267278,138624,141216,9219.0,9219.0,0.0,9219,9219,9.219,9.219,0.0,9.219,9.219
1000,1.5,0.9,random,0.0019800066656898165,0.00109434999467335,0.004822794271447955,0.0010575000051176,0.0275143000035313,1.9800066656898707e-06,1.0943499946733937e-06,4.8227942714479626e-06,1.0575000051176177e-06,2.751430000353139e-05,513.2,514.0,15.454940065033997,487,552,11.0,11.0,0.0,11,11,2484.0,2484.0,0.0,2484,2484,1395.0,1395.0,0.0,1395,1395,395.0,395.0,0.0,395,395,0.7168458781362007,0.7168458781362007,0.0,0.7168458781362007,0.7168458781362007,140519.46666666667,140592.0,514.3863926267278,138624,141216,10452.0,10452.0,0.0,10452,10452,10.452,10.452,0.0,10.452,10.452
1000,2.0,0.5,random,0.0016760399991956334,0.00071620000380785,0.005257708415664458,0.000690900007612,0.0295137000066461,1.676039999195685e-06,7.162000038078987e-07,5.2577084156644484e-06,6.909000076120719e-07,2.9513700006646103e-05,295.76666666666665,293.5,11.406844083883282,279,335,7.0,7.0,0.0,7,7,1023.0,1023.0,0.0,1023,1023,2048.0,2048.0,0.0,2048,2048,1048.0,1048.0,0.0,1048,1048,0.48828125,0.48828125,0.0,0.48828125,0.48828125,186773.86666666667,186856.0,321.5337954386667,185656,187256,6069.0,6069.0,0.0,6069,6069,6.069,6.069,0.0,6.069,6.069
1000,2.0,0.75,random,0.0008372166669383766,0.00083535000158005,2.511978341044142e-05,0.0007936000038171,0.0009500000014668,8.372166669384265e-07,8.353500015800819e-07,2.5119783410440435e-08,7.936000038171187e-07,9.50000001466833e-07,398.26666666666665,398.0,10.709110956156177,379,426,7.0,7.0,0.0,7,7,1531.0,1531.0,0.0,1531,1531,2048.0,2048.0,0.0,2048,2048,1048.0,1048.0,0.0,1048,1048,0.48828125,0.48828125,0.0,0.48828125,0.48828125,186773.86666666667,186856.0,321.5337954386667,185656,187256,7593.0,7593.0,0.0,7593,7593,7.593,7.593,0.0,7.593,7.593
1000,2.0,0.9,random,0.00090474666649237,0.0009075000052689,1.6940703215128093e-05,0.0008631999953649,0.0009317999938502,9.047466664924286e-07,9.075000052689574e-07,1.694070321513116e-08,8.631999953649938e-07,9.317999938502908e-07,469.9,470.5,9.326824495636972,452,488,7.0,7.0,0.0,7,7,1832.0,1832.0,0.0,1832,1832,2048.0,2048.0,0.0,2048,2048,1048.0,1048.0,0.0,1048,1048,0.48828125,0.48828125,0.0,0.48828125,0.48828125,186773.86666666667,186856.0,321.5337954386667,185656,187256,8496.0,8496.0,0.0,8496,8496,8.496,8.496,0.0,8.496,8.496
1000,3.0,0.5,random,0.00076165333351426,0.0007535500044468,3.1473150245850946e-05,0.0007285000028787,0.0008944000001065,7.61653333514308e-07,7.535500044468791e-07,3.147315024585331e-08,7.285000028787181e-07,8.944000001065433e-07,238.73333333333332,240.0,13.711141538867237,210,264,5.0,5.0,0.0,5,5,973.0,973.0,0.0,973,973,3888.0,3888.0,0.0,3888,3888,2888.0,2888.0,0.0,2888,2888,0.257201646090535,0.257201646090535,0.0,0.257201646090535,0.257201646090535,307487.4666666667,307512.0,371.63383288813895,306488,308120,5919.0,5919.0,0.0,5919,5919,5.919,5.919,0.0,5.919,5.919
1000,3.0,0.75,random,0.0008818533344310199,0.00085830000170965,7.890934262638294e-05,0.0008195999980671,0.0012067999923601,8.818533344310708e-07,8.583000017097219e-07,7.890934262638315e-08,8.195999980671331e-07,1.2067999923601747e-06,373.7,371.5,11.7272156203805,348,401,5.0,5.0,0.0,5,5,1457.0,1457.0,0.0,1457,1457,3888.0,3888.0,0.0,3888,3888,2888.0,2888.0,0.0,2888,2888,0.257201646090535,0.257201646090535,0.0,0.257201646090535,0.257201646090535,307487.4666666667,307512.0,371.63383288813895,306488,308120,7371.0,7371.0,0.0,7371,7371,7.371,7.371,0.0,7.371,7.371
1000,3.0,0.9,random,0.0005004766663962933,0.000500699999975,7.755341390334577e-06,0.0004886999959126,0.0005233000119915,5.004766663963286e-07,5.006999999750406e-07,7.755341390330499e-09,4.886999959126115e-07,5.233000119915232e-07,412.0,413.5,11.811741674254067,386,434,4.0,4.0,0.0,4,4,578.0,578.0,0.0,578,578,1296.0,1296.0,0.0,1296,1296,296.0,296.0,0.0,296,296,0.7716049382716049,0.7716049382716049,0.0,0.7716049382716049,0.7716049382716049,134518.93333333332,134520.0,353.7993716816038,133720,135192,4734.0,4734.0,0.0,4734,4734,4.734,4.734,0.0,4.734,4.734
5000,1.5,0.5,random,0.007758199999322283,0.00583409999671855,0.0073397724959539225,0.0055581000051461,0.0349712000024737,1.5516399998644677e-06,1.1668199993437156e-06,1.4679544991907853e-06,1.1116200010292232e-06,6.994240000494756e-06,1678.0,1634.5,183.06942342484024,1550,2592,16.0,16.0,0.0,16,16,10591.0,10591.0,0.0,10591,10591,10598.0,10598.0,0.0,10598,10598,5598.0,5598.0,0.0,5598,5598,0.4717871296471032,0.4717871296471032,0.0,0.4717871296471032,0.4717871296471032,947470.4,948312.0,2910.4584020983443,937608,949960,46773.0,46773.0,0.0,46773,46773,9.3546,9.3546,0.0,9.3546,9.3546
